"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @developingbrai1: Do you have a child with #asd, #ocd, #adhd or other neurodiverse experiences? Is your family struggling with the impac…","en","Univ. of Waterloo, Canada",0,0,1,0,"neu",2020-04-24,"Univ. of Waterloo","Canada",0
"RT @akandeoj: In furtherance of the work of the Economic Sustainability Committee, the Vice President just concluded a meeting today with a…","en","Ontario, Canada",0,0,1,0,"neu",2020-04-24,"Ontario","Canada",0
"RT @krushowy: What other jurisdictions are doing /considering as they ease #covid19 restrictions and re-open schools https://t.co/jvrA1TbsW2","en","Canada",-0.3818,0.342,0.658,0,"neg",2020-04-24,NA,"Canada",-1
"RT @nationalpost: It's not just civil liberties. Many other charter rights have been violated in COVID-19 pandemic https://t.co/2kYH2XEPcM","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"and street-involved individuals as safe and healthy as possible in the midst of COVID-19.

We're grateful that Mich… https://t.co/W4sNew0HJf","en","Toronto, Ontario, Canada",0.4404,0,0.756,0.244,"pos",2020-04-24,"Toronto","Canada",1
"RT @Trump_Detester: Mitch McConnell is back in the news  
&amp; with that, I have an obligation to repost this video cuz it makes me feel good.…","en","Canada",0.4404,0,0.775,0.225,"pos",2020-04-24,NA,"Canada",1
"@NoellaKay 1/2 Due to service disruptions related to COVID-19, it may take longer than usual  to get your passport… https://t.co/pZw9IPvQeF","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"Because of the COVID-19 pandemic, quitting smoking has never been more important. Due to these unprecedented times,… https://t.co/AGn2UUbhBB","en","Nova Scotia, Canada",0,0,1,0,"neu",2020-04-24,"Nova Scotia","Canada",0
"‘Badass’ Hamilton paramedic gets her wish, joins COVID-19 infectious disease team

https://t.co/wsEz4YH51Q","en","44 Frid St., Hamilton, Ontario, Canada",0.5106,0.119,0.519,0.363,"pos",2020-04-24,"44 Frid St.","Canada",1
"RT @CP24: Canadian Armed Forces to be sent to Pickering long-term care home where 40 people have died of COVID-19
https://t.co/zMzf3pCvzi h…","en","Toronto, Canada",-0.1779,0.228,0.585,0.187,"neg",2020-04-24,"Toronto","Canada",-1
"Link between obesity and COVID-19. 
https://t.co/ms0ANCcPDm","en","Québec, Canada",0,0,1,0,"neu",2020-04-24,"Québec","Canada",0
"It’s not just civil liberties. Many other charter rights have been violated in COVID-19 pandemic – National Post https://t.co/z3qWBq1NgK","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"RT @CBCAlerts: More @CBCNews: Doctors and health experts are urging people not to drink or inject disinfectant after U.S. President Donald…","en","Ottawa, Ontario, Canada",0,0,1,0,"neu",2020-04-24,"Ottawa","Canada",0
"RT @ForestofReading: During this difficult time, the question we get asked most has been ""How to access English Forest of Reading books dur…","en","Ontario, Canada",-0.3612,0.2,0.8,0,"neg",2020-04-24,"Ontario","Canada",-1
"Life In The Time Of COVID-19 :Restaurateur Trevor Gulliver, St. John, London, England https://t.co/9sZ8OPBBzu https://t.co/HGNCUrguhx","en","Toronto, Canada",0,0,1,0,"neu",2020-04-24,"Toronto","Canada",0
"RT @stephenlautens: I Called Out A Sun Columnist For Spreading A COVID-19 Conspiracy Theory, And She Did Not Take It Well https://t.co/Hw3C…","en","Ontario, Canada",0.2732,0,0.792,0.208,"pos",2020-04-24,"Ontario","Canada",1
"RT @chigrl: FDA SAYS HYDROXYCHLOROQUINE &amp; CHLOROQUINE HAVE NOT BEEN SHOWN TO BE SAFE &amp; EFFECTIVE FOR TREATING OR PREVENTING COVID-19
@redbo…","en","Manitoba, Canada",0.6908,0,0.511,0.489,"pos",2020-04-24,"Manitoba","Canada",1
