"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @Xy5Z89: #BREAKING NEWS🚨🚨

#GERMANY #MAINZ #RHEINLANDPFALZ #CORONAVIRUS

The Mainz-based biotech company Biontech and the US pharmaceuti…","en","Canada",0,0,1,0,"neu",2020-04-29,NA,"Canada",0
"RT @CoreysDigs: POLL for @potus @realDonaldTrump @FDACommissioner

Will you get a COVID-19 VACCINE injection if one is approved by the FDA?…","en","Canada",0,0,1,0,"neu",2020-04-29,NA,"Canada",0
"There are many advocates of virtual care, also known as telemedicine, which can include video conferencing, e-mails… https://t.co/RHXDRBNUpW","en","Toronto, Ontario, Canada",0.4939,0,0.758,0.242,"pos",2020-04-29,"Toronto","Canada",1
"RT @linda4workers: Stand strong @SEIUHealthCan family : Peel PSW who died of COVID-19 remembered as vibrant person with a big heart https:/…","en","Canada",0.4215,0.189,0.485,0.325,"pos",2020-04-30,NA,"Canada",1
"To Survive the COVID-19 Crisis, You Have to Think Long-Term https://t.co/lpztgXfi8u https://t.co/7O8CIMHrsn","en","Canada",0,0,1,0,"neu",2020-04-30,NA,"Canada",0
"RT @VoiceOfFranky: Canada's early COVID-19 cases came from the U.S. not China, provincial data shows https://t.co/GjXx8FQRmC via @nationalp…","en","Canada",0,0,1,0,"neu",2020-04-30,NA,"Canada",0
"RT @adequatehousing: COVID-19 has revealed something astonishing and ugly-that it takes a global pandemic that could wipe out humanity to g…","en","Ottawa, Canada",0,0,1,0,"neu",2020-05-01,"Ottawa","Canada",0
"Good morning, Canada.

Of course, we have the latest headlines on the COVID-19 pandemic all morning.

As well, sinc… https://t.co/IHiIsgxYNz","en","Canada",0.6124,0,0.643,0.357,"pos",2020-05-01,NA,"Canada",1
"As meat plants shut down, COVID-19 reveals the extreme concentration of our food supply
https://t.co/sFtySVUEVH","en","Canada",0,0,1,0,"neu",2020-05-01,NA,"Canada",0
"RT @CP24: There are 55,061 confirmed and presumptive cases in Canada https://t.co/K6OyqMHQNN","en","Ontario, Canada",0,0,1,0,"neu",2020-05-02,"Ontario","Canada",0
"RT @KathyTGlobe: Remarkably detailed and intimate account of how COVID-19 ravaged this Ontario nursing home. A lovely, sad tribute to peopl…","en","Ontario, Canada",0.2732,0.169,0.601,0.23,"pos",2020-05-02,"Ontario","Canada",1
"@JustinTrudeau @gatesfoundation @BillGates @melindagates You are another Bill Gates puppet! He created the covid -1… https://t.co/aYLkmX6Iuz","en","Ontario, Canada",0,0,1,0,"neu",2020-05-02,"Ontario","Canada",0
"RT @unimelb: Historically there is a strong tradition of medical students volunteering to help during health crises and disasters. But is i…","en","Pembroke, Ontario, Canada",0.7184,0,0.571,0.429,"pos",2020-05-03,"Pembroke","Canada",1
"I've listened to 5+ times of various segments of this #TWiV episode 608 with Dr. Daniel Griffin re #Covid19 to get… https://t.co/mebMgOT4HU","en","Calgary, Canada",0,0,1,0,"neu",2020-05-03,"Calgary","Canada",0
"@NorthBelle4 Covid-19= the gift that just keeps on giving,  and these folks are happy to share death openly with everyone, apparently. ☹","en","Canada",0.0516,0.229,0.471,0.3,"pos",2020-05-03,NA,"Canada",1
"RT @BBCWorld: Coronavirus: How Covid-19 is ravaging India's newsrooms https://t.co/GnI34asd7k","en","Alberta, Canada",0,0,1,0,"neu",2020-05-04,"Alberta","Canada",0
"RT @CBCFletch: Here are the latest COVID-19 data for Alberta:

• Overall, very similar to yesterday's numbers
• 96 new cases in past 24 hrs…","en","Alberta, Canada",0.0772,0,0.894,0.106,"pos",2020-05-04,"Alberta","Canada",1
"""In the midst of the COVID-19 pandemic, the brokenness of our local food system is finally exposed, without a mask.… https://t.co/Sc8GEq1ejo","en","New Brunswick, Canada",-0.4767,0.237,0.763,0,"neg",2020-05-04,"New Brunswick","Canada",-1
"@KotakBankLtd Well, It was a suggestion to do such formalities through video call like international banks does. A… https://t.co/Odo2Bj4fvF","en","Canada",0.5574,0,0.566,0.434,"pos",2020-05-05,NA,"Canada",1
"RT @KP_MD2018: This Alberta, read this. Our cases are still increasing, our curve is still curving, but our hospitals are more ready. We ar…","en","Canada",0,0,1,0,"neu",2020-05-05,NA,"Canada",0
"RT @DrJacobsRad: Trudeau pledges $850,000,000 to the UN's WHO.

Ladies and gentlemen, may I present to you the most expensive UN Security C…","en","Canada",0,0,1,0,"neu",2020-05-05,NA,"Canada",0
"What if @rihanna’s album was the cure for the covid-19 

Think about it Robyn. Think about it.","en","Canada",0,0,1,0,"neu",2020-05-06,NA,"Canada",0
"In 🇨🇦’s corner of 🌎, COVID 19 experience so far is 107 deaths 😔 per million population, lower than Belgium(720), Sp… https://t.co/wF34oRUVmq","en","Toronto,  Canada",-0.7269,0.404,0.596,0,"neg",2020-05-06,"Toronto","Canada",-1
"RT @MHCC_: How are you coping with COVID-19? Take 5-min to complete the COVID-19 Impact on Mental Health Pulse Check Survey to take stock o…","en","Canada",0,0,1,0,"neu",2020-05-06,NA,"Canada",0
"RT @juanstwt: @CTVNews Death toll?
Since Feb 1st in Canada...
Cancer deaths = 0
Heart attack deaths = 0
Lung disease deaths = 0
Obesity rel…","en","Alberta, Canada",-0.9753,0.698,0.302,0,"neg",2020-05-07,"Alberta","Canada",-1
"@anjanaomkashyap Do you have guts and daring to speak about Ahmedabad death toll and covid 19 cases is because of N… https://t.co/dzZNQj4g2I","en","Canada",-0.5994,0.358,0.642,0,"neg",2020-05-07,NA,"Canada",-1
